id,truth,asset_name,text_name,belivers,nonbelivers,rebuttal,reb_asset_name
8,f,truthgame_8,truthgame_8,1,1,"Эта картинка — созданный в фотошопе фейк. На оригинальном фото грузовики перевозят контейнеры для ракет ЗРК «Бук». Кадр был сделан журналистами агентства Reuters и <a href=""https://www.reuters.com/article/uk-ukraine-crisis-west/west-faces-tough-choices-if-russia-ukraine-fight-idUKKBN0GG06M20140816?edition-redirect=uk"">опубликован</a> еще в 2014 году. На подделку были добавлены гробы, нарисованные на кузовах литеры «Z» и дорожный знак «Россия».",tgame_reb_8
1,f,truthgame_1,truthgame_1,1,1,"<a href=""https://www.youtube.com/watch?v=OXMnGdPobx8"">На самом деле</a> на стене в комнате мальчика изображена машина. Плакаты с геями являются фантазией журналистов с «России-1».",tgame_reb_1
6,t,truthgame_6,truthgame_6,1,1,"В этой ситуации Владимир Путин говорит правду. Несмотря на то, что никаких договоров об этом заключено не было, нарушение <a href=""https://nsarchive.gwu.edu/document/16117-document-06-record-conversation-between"">устной договорённости</a> действительно имело место.",tgame_reb_6
5,f,truthgame_5,truthgame_5,1,1,А нужно опровержение? Оператор идет впереди сапёра! 😁 С таким оператором ничего не страшно. 😎,
2,f,truthgame_2,truthgame_2,1,1,"На самом деле, это фото взято из <a href=""https://tsn.ua/ru/video/video-novini/na-luganschine-pri-popytke-zaderzhaniya-zastrelen-boec-roty-tornado.html"">репортажа</a> украинского телеканала <b>2015 года</b>, о задержании депутата Сергея Мельничука в Киеве.",tgame_reb_2
4,t,truthgame_4,truthgame_4,1,1,"Действительно, <a href=""https://documents1.worldbank.org/curated/en/189281468306569332/pdf/475080WP0Russi00Box334139B00PUBLIC0.pdf"">по данным</a> Всемирного Банка, в 2000 году около 30% населения РФ жили за чертой бедности.",truthgame_4
