id,asset_name,text_name,belivers,nonbelivers,rebuttal
1,,normal_game_1,3,15,Это не норма
2,normal_game_2,normal_game_2,2,7,Это не норма
3,,normal_game_3,4,4,Это не норма
4,normal_game_4,normal_game_4,2,3,Это не норма
5,,normal_game_5,3,2,Это не норма
6,,normal_game_6,1,3,Это не норма
