t_id,name
AgACAgIAAxkBAAInbGKrCmLJcVLzRyvI95_tsK3XkI9QAALfuTEbza4ISQdHtxJLBkv2AQADAgADcwADJAQ,test_photo_tag
AgACAgIAAxkBAAIG42KkSc4bYA7I11GVj9arncjw-CmzAAJLvTEb9B4YSQodwESsuK5FAQADAgADcwADJAQ,ffs
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,TV_shit_filler
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,TV_rebuttal_filler
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_first_lie_1
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_first_lie_2
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_first_lie_3
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_first_lie_4
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_first_lie_5
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_first_reb_1
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_first_reb_2
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_first_reb_3
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_first_reb_4
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_first_reb_5
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_24_lie_1
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_24_lie_2
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_24_lie_3
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_24_lie_4
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_24_lie_5
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_24_reb_1
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_24_reb_2
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_24_reb_3
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_24_reb_4
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_24_reb_5
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_r1_lie_1
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_r1_lie_2
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_r1_lie_3
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_r1_lie_4
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_r1_lie_5
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_r1_reb_1
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_r1_reb_2
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_r1_reb_3
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_r1_reb_4
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_r1_reb_5
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_HTB_lie_1
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_HTB_lie_2
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_HTB_lie_3
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_HTB_lie_4
BAACAgIAAxkBAAIUymKnYpSGDFVU8dctgpZHPShDlQWoAAKXGAACp6I5SYvsJzYQeyZgJAQ,tv_HTB_lie_5
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_HTB_reb_1
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_HTB_reb_2
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_HTB_reb_3
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_HTB_reb_4
BAACAgIAAxkBAAIU0mKnYqMc3IP-w8OIFYkgJx3HfU5HAALWHQACd1g5SfKiQMeJBawuJAQ,tv_HTB_reb_5
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_star_lie_1
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_star_lie_2
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_star_lie_3
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_star_lie_4
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_star_lie_5
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_star_reb_1
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_star_reb_2
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_star_reb_3
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_star_reb_4
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_star_reb_5
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_ren_lie_1
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_ren_lie_2
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_ren_lie_3
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_ren_lie_4
BAACAgIAAxkBAAIM6WKmAb8vifcp5j8J5KfQNxJato-6AAKrGwACUMQwSYUGVcY26kgkJAQ,tv_ren_lie_5
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_ren_reb_1
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_ren_reb_2
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_ren_reb_3
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_ren_reb_4
BAACAgIAAxkBAAIM8mKmAgPbyDqNCykZA3nJIsuXog0IAAKvGwACUMQwSe1_PU9np-gWJAQ,tv_ren_reb_5
AgACAgIAAxkBAAIQxWKnArslwsmTnqM2YT2FiKGk_JhoAALYvjEbd1g5SfJducteFv5pAQADAgADcwADJAQ,test
AgACAgIAAxkBAAIXNGKocANwyz5sY0oVMzzUDHBkPSyVAAKbvjEbp6JBSdAQg4qIctd2AQADAgADcwADJAQ,tgame_photo_2
AgACAgIAAxkBAAIXuWKodmAqRQtmqY_oA2Yn4pSPWqfKAAJ5uzEbd1hBST7OoPXsuZKwAQADAgADcwADJAQ,ffffffsa
AgACAgIAAxkBAAIlx2KqBEAFdbQnOHY3HQABzurNSX-3ewACU8ExG0i8UEkGYFm-z4NWdgEAAwIAA3MAAyQE,donbass_chart_1
AgACAgIAAxkBAAIaY2KoobwV-c8Uvc6cP7FU8j6k2nUcAAJ7vTEbSLxASSTG_W6CuRpxAQADAgADcwADJAQ,donbass_chart_2
BAACAgIAAxkBAAIkH2Koyxm9RvtfxEn5-ZOumij5CT7hAAMYAAJIvEhJ_ldvQ9Jjgj0kBA,RIANEWS_media_1
BAACAgIAAxkBAAIkH2Koyxm9RvtfxEn5-ZOumij5CT7hAAMYAAJIvEhJ_ldvQ9Jjgj0kBA,RIANEWS_media_2
BAACAgIAAxkBAAIkH2Koyxm9RvtfxEn5-ZOumij5CT7hAAMYAAJIvEhJ_ldvQ9Jjgj0kBA,RIANEWS_media_3
BAACAgIAAxkBAAIkH2Koyxm9RvtfxEn5-ZOumij5CT7hAAMYAAJIvEhJ_ldvQ9Jjgj0kBA,RIANEWS_media_4
BAACAgIAAxkBAAIkH2Koyxm9RvtfxEn5-ZOumij5CT7hAAMYAAJIvEhJ_ldvQ9Jjgj0kBA,RIANEWS_media_5
